No,名前,タイプ1,タイプ2,HP,攻撃,防御,特攻,特防,素早,おもさ,とくせい1,とくせい2,かくれとくせい,使用可能
696,チゴラス,いわ,ドラゴン,58,89,77,45,45,48,26,がんじょうあご,,がんじょう,
697,ガチゴラス,いわ,ドラゴン,82,121,119,69,59,71,270,がんじょうあご,,いしあたま,TRUE
698,アマルス,いわ,こおり,77,59,50,67,63,46,25.2,フリーズスキン,,ゆきふらし,
699,アマルルガ,いわ,こおり,123,77,72,99,92,58,225,フリーズスキン,,ゆきふらし,TRUE
700,ニンフィア,フェアリー,,95,65,65,110,130,60,23.5,メロメロボディ,,フェアリースキン,TRUE
701,ルチャブル,かくとう,ひこう,78,92,75,74,63,118,21.5,じゅうなん,かるわざ,かたやぶり,TRUE
701,メガルチャブル,かくとう,ひこう,78,137,100,74,93,118,25,ノーガード,,,TRUE
702,デデンネ,でんき,フェアリー,67,58,57,81,67,101,2.2,ほおぶくろ,ものひろい,プラス,TRUE
703,メレシー,いわ,フェアリー,50,50,150,50,150,50,5.7,クリアボディ,,がんじょう,
704,ヌメラ,ドラゴン,,45,50,35,55,75,40,2.8,そうしょく,うるおいボディ,ぬめぬめ,
705,ヌメイル,ドラゴン,,68,75,53,83,113,60,17.5,そうしょく,うるおいボディ,ぬめぬめ,
705,ヌメイルH,ドラゴン,はがね,57,75,83,83,113,40,68.5,そうしょく,シェルアーマー,ぬめぬめ,
706,ヌメルゴン,ドラゴン,,90,100,70,110,150,80,150.5,そうしょく,うるおいボディ,ぬめぬめ,TRUE
706,ヌメルゴンH,ドラゴン,はがね,80,100,100,110,150,60,334.1,そうしょく,シェルアーマー,ぬめぬめ,TRUE
707,クレッフィ,はがね,フェアリー,57,80,91,80,87,75,3,いたずらごころ,,マジシャン,TRUE
708,ボクレー,ゴースト,くさ,43,70,48,50,60,38,7,しぜんかいふく,おみとおし,しゅうかく,
709,オーロット,ゴースト,くさ,85,110,76,65,82,56,71,しぜんかいふく,おみとおし,しゅうかく,TRUE
710,バケッチャ普,ゴースト,くさ,49,66,70,44,55,51,5,ものひろい,おみとおし,ふみん,
710,バケッチャ小,ゴースト,くさ,44,66,70,44,55,56,3.5,ものひろい,おみとおし,ふみん,
710,バケッチャ大,ゴースト,くさ,54,66,70,44,55,46,7.5,ものひろい,おみとおし,ふみん,
710,バケッチャ特,ゴースト,くさ,59,66,70,44,55,41,15,ものひろい,おみとおし,ふみん,
711,パンプジン普,ゴースト,くさ,65,90,122,58,75,84,12.5,ものひろい,おみとおし,ふみん,TRUE
711,パンプジン小,ゴースト,くさ,55,85,122,58,75,99,9.5,ものひろい,おみとおし,ふみん,TRUE
711,パンプジン大,ゴースト,くさ,75,95,122,58,75,69,14,ものひろい,おみとおし,ふみん,TRUE
711,パンプジン特,ゴースト,くさ,85,100,122,58,75,54,39,ものひろい,おみとおし,ふみん,TRUE
712,カチコール,こおり,,55,69,85,32,35,28,99.5,マイペース,アイスボディ,がんじょう,
713,クレベース,こおり,,95,117,184,44,46,28,505,マイペース,アイスボディ,がんじょう,TRUE
713,クレベースH,こおり,いわ,95,127,184,34,36,38,262.4,がんじょうあご,アイスボディ,がんじょう,TRUE
714,オンバット,ひこう,ドラゴン,40,30,35,45,40,55,8,おみとおし,すりぬけ,テレパシー,
715,オンバーン,ひこう,ドラゴン,85,70,80,97,80,123,85,おみとおし,すりぬけ,テレパシー,TRUE
716,ゼルネアス,フェアリー,,126,131,95,131,98,99,215,フェアリーオーラ,,,
717,イベルタル,あく,ひこう,126,131,95,131,98,99,203,ダークオーラ,,,
718,ジガルデ50,ドラゴン,じめん,108,100,121,81,95,95,305,オーラブレイク,スワームチェンジ,,
718,ジガルデ10,ドラゴン,じめん,54,100,71,61,85,115,33.5,オーラブレイク,スワームチェンジ,,
718,ジガルデ100,ドラゴン,じめん,216,100,121,91,95,85,610,スワームチェンジ,,,
718,メガジガルデ,ドラゴン,じめん,216,70,91,216,85,100,610,,,,
719,ディアンシー,いわ,フェアリー,50,100,150,100,150,50,8.8,クリアボディ,,,
719,メガディアンシー,いわ,フェアリー,50,160,110,160,110,110,27.8,マジックミラー,,,
720,フーパ,エスパー,あく,80,110,60,150,130,70,9,マジシャン,,,
720,フーパ解,エスパー,あく,80,160,60,170,130,80,490,マジシャン,,,
721,ボルケニオン,ほのお,みず,80,110,120,130,90,70,195,ちょすい,,,
722,モクロー,くさ,ひこう,68,55,55,50,50,42,1.5,しんりょく,,えんかく,
723,フクスロー,くさ,ひこう,78,75,75,70,70,52,16,しんりょく,,えんかく,
724,ジュナイパー,くさ,ゴースト,78,107,75,100,100,70,36.6,しんりょく,,えんかく,TRUE
724,ジュナイパーH,くさ,かくとう,88,112,80,95,95,60,36.6,しんりょく,,きもったま,TRUE
725,ニャビー,ほのお,,45,65,40,60,40,70,4.3,もうか,,いかく,
726,ニャヒート,ほのお,,65,85,50,80,50,90,25,もうか,,いかく,
727,ガオガエン,ほのお,あく,95,115,90,80,90,60,83,もうか,,いかく,TRUE
728,アシマリ,みず,,50,54,54,66,56,40,7.5,げきりゅう,,うるおいボイス,
729,オシャマリ,みず,,60,69,69,91,81,50,17.5,げきりゅう,,うるおいボイス,
730,アシレーヌ,みず,フェアリー,80,74,74,126,116,60,44,げきりゅう,,うるおいボイス,TRUE
731,ツツケラ,ノーマル,ひこう,35,75,30,30,30,65,1.2,するどいめ,スキルリンク,ものひろい,
732,ケララッパ,ノーマル,ひこう,55,85,50,40,50,75,14.8,するどいめ,スキルリンク,ものひろい,
733,ドデカバシ,ノーマル,ひこう,80,120,75,75,75,60,26,するどいめ,スキルリンク,ちからずく,TRUE
734,ヤングース,ノーマル,,48,70,30,30,30,45,6,はりこみ,がんじょうあご,てきおうりょく,
735,デカグース,ノーマル,,88,110,60,55,60,45,14.2,はりこみ,がんじょうあご,てきおうりょく,
736,アゴジムシ,むし,,47,62,45,55,45,46,4.4,むしのしらせ,,,
737,デンヂムシ,むし,でんき,57,82,95,55,75,36,10.5,バッテリー,,,
738,クワガノン,むし,でんき,77,70,90,145,75,43,45,ふゆう,,,
739,マケンカニ,かくとう,,47,82,57,42,47,63,7,かいりきバサミ,てつのこぶし,いかりのつぼ,
740,ケケンカニ,かくとう,こおり,97,132,77,62,67,43,180,かいりきバサミ,てつのこぶし,いかりのつぼ,TRUE
740,メガケケンカニ,かくとう,こおり,97,157,122,62,107,33,252.8,てつのこぶし,,,TRUE
741,オドリドリ炎,ほのお,ひこう,75,70,70,98,70,93,3.4,おどりこ,,,
741,オドリドリ電,でんき,ひこう,75,70,70,98,70,93,3.4,おどりこ,,,
741,オドリドリ超,エスパー,ひこう,75,70,70,98,70,93,3.4,おどりこ,,,
741,オドリドリ霊,ゴースト,ひこう,75,70,70,98,70,93,3.4,おどりこ,,,
742,アブリー,むし,フェアリー,40,45,40,55,40,84,0.2,みつあつめ,りんぷん,スイートベール,
743,アブリボン,むし,フェアリー,60,55,60,95,70,124,0.5,みつあつめ,りんぷん,スイートベール,
744,イワンコ,いわ,,45,65,40,30,40,60,9.2,するどいめ,やるき,ふくつのこころ,
745,ルガルガンまひる,いわ,,75,115,65,55,65,112,25,するどいめ,すなかき,ふくつのこころ,TRUE
745,ルガルガンまよなか,いわ,,85,115,75,55,75,82,25,するどいめ,やるき,ノーガード,TRUE
745,ルガルガンたそがれ,いわ,,75,117,65,55,65,110,25,かたいツメ,,,TRUE
746,ヨワシ,みず,,45,20,20,25,25,40,0.3,ぎょぐん,,,
746,ヨワシ群,みず,,45,140,130,140,135,30,78.6,ぎょぐん,,,
747,ヒドイデ,どく,みず,50,53,62,43,52,45,8,ひとでなし,じゅうなん,さいせいりょく,
748,ドヒドイデ,どく,みず,50,63,152,53,142,35,14.5,ひとでなし,じゅうなん,さいせいりょく,TRUE
749,ドロバンコ,じめん,,70,100,70,45,55,45,110,マイペース,じきゅうりょく,せいしんりょく,
750,バンバドロ,じめん,,100,125,100,55,85,35,920,マイペース,じきゅうりょく,せいしんりょく,TRUE
751,シズクモ,みず,むし,38,40,52,40,72,27,4,すいほう,,ちょすい,
752,オニシズクモ,みず,むし,68,70,92,50,132,42,82,すいほう,,ちょすい,TRUE
753,カリキリ,くさ,,40,55,35,50,35,35,1.5,リーフガード,,あまのじゃく,
754,ラランテス,くさ,,70,105,90,80,90,45,18.5,リーフガード,,あまのじゃく,
755,ネマシュ,くさ,フェアリー,40,35,55,65,75,15,1.5,はっこう,ほうし,あめうけざら,
756,マシェード,くさ,フェアリー,60,45,80,90,100,30,11.5,はっこう,ほうし,あめうけざら,
757,ヤトウモリ,どく,ほのお,48,44,40,71,40,77,4.8,ふしょく,,どんかん,
758,エンニュート,どく,ほのお,68,64,60,111,60,117,22.2,ふしょく,,どんかん,TRUE
759,ヌイコグマ,ノーマル,かくとう,70,75,50,45,50,50,6.8,もふもふ,ぶきよう,メロメロボディ,
760,キテルグマ,ノーマル,かくとう,120,125,80,55,60,60,135,もふもふ,ぶきよう,きんちょうかん,
761,アマカジ,くさ,,42,30,38,30,38,32,3.2,リーフガード,どんかん,スイートベール,
762,アママイコ,くさ,,52,40,48,40,48,62,8.2,リーフガード,どんかん,スイートベール,
763,アマージョ,くさ,,72,120,98,50,98,72,21.4,リーフガード,じょおうのいげん,スイートベール,TRUE
764,キュワワー,フェアリー,,51,52,90,82,110,100,0.3,フラワーベール,ヒーリングシフト,しぜんかいふく,
765,ヤレユータン,ノーマル,エスパー,90,60,80,90,110,60,76,せいしんりょく,テレパシー,きょうせい,TRUE
766,ナゲツケサル,かくとう,,100,120,90,40,60,80,82.8,レシーバー,,まけんき,TRUE
767,コソクムシ,むし,みず,25,35,40,20,30,80,12,にげごし,,,
768,グソクムシャ,むし,みず,75,125,140,60,90,40,108,ききかいひ,,,TRUE
768,メガグソクムシャ,むし,はがね,75,150,175,70,120,40,148,かたいツメ,,,TRUE
769,スナバァ,ゴースト,じめん,55,55,80,70,45,15,70,みずがため,,すながくれ,
770,シロデスナ,ゴースト,じめん,85,75,110,100,75,35,250,みずがため,,すながくれ,
771,ナマコブシ,みず,,55,60,130,30,130,5,1.2,とびだすなかみ,,てんねん,
772,タイプ：ヌル,ノーマル,,95,95,95,95,95,59,120.5,カブトアーマー,,,
773,シルヴァディ,ノーマル,,95,95,95,95,95,95,100.5,ARシステム,,,
774,メテノ殻,いわ,ひこう,60,60,100,60,100,60,40,リミットシールド,,,
774,メテノ核,いわ,ひこう,60,100,60,100,60,120,0.3,リミットシールド,,,
775,ネッコアラ,ノーマル,,65,115,65,75,95,65,19.9,ぜったいねむり,,,
776,バクガメス,ほのお,ドラゴン,60,78,135,91,85,36,212,シェルアーマー,,,
777,トゲデマル,でんき,はがね,65,98,63,40,73,96,3.3,てつのトゲ,ひらいしん,がんじょう,
778,ミミッキュ,ゴースト,フェアリー,55,90,80,50,105,96,0.7,ばけのかわ,,,TRUE
779,ハギギシリ,みず,エスパー,68,105,70,70,70,92,19,ビビッドボディ,がんじょうあご,ミラクルスキン,
780,ジジーロン,ノーマル,ドラゴン,78,60,85,135,91,36,185,ぎゃくじょう,そうしょく,ノーてんき,TRUE
780,メガジジーロン,ドラゴン,ノーマル,78,85,110,160,116,36,240.5,ぎゃくじょう,,,TRUE
781,ダダリン,ゴースト,くさ,70,131,100,86,90,40,210,はがねつかい,,,
782,ジャラコ,ドラゴン,,45,55,65,45,45,45,29.7,ぼうだん,ぼうおん,ぼうじん,
783,ジャランゴ,ドラゴン,かくとう,55,75,90,65,70,65,47,ぼうだん,ぼうおん,ぼうじん,
784,ジャラランガ,ドラゴン,かくとう,75,110,125,100,105,85,78.2,ぼうだん,ぼうおん,ぼうじん,TRUE
785,カプ・コケコ,でんき,フェアリー,70,115,85,95,75,130,20.5,エレキメイカー,,テレパシー,
786,カプ・テテフ,エスパー,フェアリー,70,85,75,130,115,95,18.6,サイコメイカー,,テレパシー,
787,カプ・ブルル,くさ,フェアリー,70,130,115,85,95,75,45.5,グラスメイカー,,テレパシー,
788,カプ・レヒレ,みず,フェアリー,70,75,115,95,130,85,21.2,ミストメイカー,,テレパシー,
789,コスモッグ,エスパー,,43,29,31,29,31,37,0.1,てんねん,,,
790,コスモウム,エスパー,,43,29,131,29,131,37,999.9,がんじょう,,,
791,ソルガレオ,エスパー,はがね,137,137,107,113,89,97,230,メタルプロテクト,,,
792,ルナアーラ,エスパー,ゴースト,137,113,89,137,107,97,120,ファントムガード,,,
793,ウツロイド,いわ,どく,109,53,47,127,131,103,55.5,ビーストブースト,,,
794,マッシブーン,むし,かくとう,107,139,139,53,53,79,333.6,ビーストブースト,,,
795,フェローチェ,むし,かくとう,71,137,37,137,37,151,25,ビーストブースト,,,
796,デンジュモク,でんき,,83,89,71,173,71,83,100,ビーストブースト,,,
797,テッカグヤ,はがね,ひこう,97,101,103,107,101,61,999.9,ビーストブースト,,,
798,カミツルギ,くさ,はがね,59,181,131,59,31,109,0.1,ビーストブースト,,,
799,アクジキング,あく,ドラゴン,223,101,53,97,53,43,888,ビーストブースト,,,
800,ネクロズマ,エスパー,,97,107,101,127,89,79,230,プリズムアーマー,,,
800,ネクロズマ日,エスパー,はがね,97,157,127,113,109,77,460,プリズムアーマー,,,
800,ネクロズマ月,エスパー,ゴースト,97,113,109,157,127,77,350,プリズムアーマー,,,
800,ネクロズマ竜,エスパー,ドラゴン,97,167,97,167,97,129,230,プリズムアーマー,,,
801,マギアナ,はがね,フェアリー,80,95,115,130,115,65,80.5,ソウルハート,,,
801,メガマギアナ,はがね,フェアリー,80,125,115,170,115,95,248.1,,,,
802,マーシャドー,かくとう,ゴースト,90,125,80,90,90,125,22.2,テクニシャン,,,
803,ベベノム,どく,,67,73,67,73,67,73,1.8,ビーストブースト,,,
804,アーゴヨン,どく,ドラゴン,73,73,73,127,73,121,150,ビーストブースト,,,
805,ツンデツンデ,いわ,はがね,61,131,211,53,101,13,820,ビーストブースト,,,
806,ズガドーン,ほのお,ゴースト,53,127,53,151,79,107,13,ビーストブースト,,,
807,ゼラオラ,でんき,,88,112,75,102,80,143,44.5,ちくでん,,,
807,メガゼラオラ,でんき,,88,157,75,147,80,153,44.5,,,,
808,メルタン,はがね,,46,65,65,55,35,34,8,じりょく,,,
809,メルメタル,はがね,,135,143,143,80,65,34,800,てつのこぶし,,,
810,サルノリ,くさ,,50,65,50,40,40,65,5,しんりょく,,グラスメイカー,
811,バチンキー,くさ,,70,85,70,55,60,80,14,しんりょく,,グラスメイカー,
812,ゴリランダー,くさ,,100,125,90,60,70,85,90,しんりょく,,グラスメイカー,
813,ヒバニー,ほのお,,50,71,40,40,40,69,4.5,もうか,,リベロ,
814,ラビフット,ほのお,,65,86,60,55,60,94,9,もうか,,リベロ,
815,エースバーン,ほのお,,80,116,75,65,75,119,33,もうか,,リベロ,
816,メッソン,みず,,50,40,40,70,40,70,4,げきりゅう,,スナイパー,
817,ジメレオン,みず,,65,60,55,95,55,90,11.5,げきりゅう,,スナイパー,
818,インテレオン,みず,,70,85,65,125,65,120,45.2,げきりゅう,,スナイパー,
819,ホシガリス,ノーマル,,70,55,55,35,35,25,2.5,ほおぶくろ,,くいしんぼう,
820,ヨクバリス,ノーマル,,120,95,95,55,75,20,6,ほおぶくろ,,くいしんぼう,
821,ココガラ,ひこう,,38,47,35,33,35,57,1.8,するどいめ,きんちょうかん,はとむね,
822,アオガラス,ひこう,,68,67,55,43,55,77,16,するどいめ,きんちょうかん,はとむね,
823,アーマーガア,ひこう,はがね,98,87,105,53,85,67,75,プレッシャー,きんちょうかん,ミラーアーマー,
824,サッチムシ,むし,,25,20,20,25,45,45,8,むしのしらせ,ふくがん,テレパシー,
825,レドームシ,むし,エスパー,50,35,80,50,90,30,19.5,むしのしらせ,ふくがん,テレパシー,
826,イオルブ,むし,エスパー,60,45,110,80,120,90,40.8,むしのしらせ,おみとおし,テレパシー,
827,クスネ,あく,,40,28,28,47,52,50,8.9,にげあし,かるわざ,はりこみ,
828,フォクスライ,あく,,70,58,58,87,92,90,19.9,にげあし,かるわざ,はりこみ,
829,ヒメンカ,くさ,,40,40,60,40,60,10,2.2,わたげ,さいせいりょく,ほうし,
830,ワタシラガ,くさ,,60,50,90,80,120,60,2.5,わたげ,さいせいりょく,ほうし,
831,ウールー,ノーマル,,42,40,55,40,45,48,6,もふもふ,にげあし,ぼうだん,
832,バイウールー,ノーマル,,72,80,100,60,90,88,43,もふもふ,はやあし,ぼうだん,
833,カムカメ,みず,,50,64,50,38,38,44,8.5,がんじょうあご,シェルアーマー,すいすい,
834,カジリガメ,みず,いわ,90,115,90,48,68,74,115.5,がんじょうあご,シェルアーマー,すいすい,
835,ワンパチ,でんき,,59,45,50,40,50,26,13.5,たまひろい,,びびり,
836,パルスワン,でんき,,69,90,60,90,60,121,34,がんじょうあご,,かちき,
837,タンドン,いわ,,30,40,50,40,50,30,12,じょうききかん,たいねつ,もらいび,
838,トロッゴン,いわ,ほのお,80,60,90,60,70,50,78,じょうききかん,ほのおのからだ,もらいび,
839,セキタンザン,いわ,ほのお,110,80,120,80,90,30,310.5,じょうききかん,ほのおのからだ,もらいび,
840,カジッチュ,くさ,ドラゴン,40,40,80,40,40,20,0.5,じゅくせい,くいしんぼう,ぼうだん,
841,アップリュー,くさ,ドラゴン,70,110,80,95,60,70,1,じゅくせい,くいしんぼう,はりきり,
842,タルップル,くさ,ドラゴン,110,85,80,100,80,30,13,じゅくせい,くいしんぼう,あついしぼう,
843,スナヘビ,じめん,,52,57,75,35,50,46,7.6,すなはき,だっぴ,すながくれ,
844,サダイジャ,じめん,,72,107,125,65,70,71,65.5,すなはき,だっぴ,すながくれ,
845,ウッウ,ひこう,みず,70,85,55,85,95,85,18,うのミサイル,,,
846,サシカマス,みず,,41,63,40,40,30,66,1,すいすい,,スクリューおびれ,
847,カマスジョー,みず,,61,123,60,60,50,136,30,すいすい,,スクリューおびれ,
848,エレズン,でんき,どく,40,38,35,54,35,40,11,びびり,せいでんき,ぶきよう,
849,ストリンダー,でんき,どく,75,98,70,114,70,75,40,パンクロック,プラス,テクニシャン,
850,ヤクデ,ほのお,むし,50,65,45,50,50,45,1,もらいび,しろいけむり,ほのおのからだ,
851,マルヤクデ,ほのお,むし,100,115,65,90,90,65,120,もらいび,しろいけむり,ほのおのからだ,
852,タタッコ,かくとう,,50,68,60,50,50,32,4,じゅうなん,,テクニシャン,
853,オトスパス,かくとう,,80,118,90,70,80,42,39,じゅうなん,,テクニシャン,
854,ヤバチャ,ゴースト,,40,45,45,74,54,50,0.2,くだけるよろい,,のろわれボディ,
855,ポットデス,ゴースト,,60,65,65,134,114,70,0.4,くだけるよろい,,のろわれボディ,
856,ミブリム,エスパー,,42,30,45,56,53,39,3.4,いやしのこころ,きけんよち,マジックミラー,
857,テブリム,エスパー,,57,40,65,86,73,49,4.8,いやしのこころ,きけんよち,マジックミラー,
858,ブリムオン,エスパー,フェアリー,57,90,95,136,103,29,5.1,いやしのこころ,きけんよち,マジックミラー,
859,ベロバー,あく,フェアリー,45,45,30,55,40,50,5.5,いたずらごころ,おみとおし,わるいてぐせ,
860,ギモー,あく,フェアリー,65,60,45,75,55,70,12.5,いたずらごころ,おみとおし,わるいてぐせ,
861,オーロンゲ,あく,フェアリー,95,120,65,95,75,60,61,いたずらごころ,おみとおし,わるいてぐせ,
862,タチフサグマ,あく,ノーマル,93,90,101,60,81,95,46,すてみ,こんじょう,まけんき,
863,ニャイキング,はがね,,70,110,100,50,60,50,28,カブトアーマー,かたいツメ,はがねのせいしん,
864,サニゴーン,ゴースト,,60,95,50,145,130,30,0.4,くだけるよろい,,ほろびのボディ,
865,ネギガナイト,かくとう,,62,135,95,68,82,65,117,ふくつのこころ,,きもったま,
866,バリコオル,こおり,エスパー,80,85,75,110,100,70,58.2,ちどりあし,バリアフリー,アイスボディ,
867,デスバーン,じめん,ゴースト,58,95,145,50,105,30,66.6,さまようたましい,,,
868,マホミル,フェアリー,,45,40,40,50,61,34,0.3,スイートベール,,アロマベール,
869,マホイップ,フェアリー,,65,60,75,110,121,64,0.5,スイートベール,,アロマベール,
870,タイレーツ,かくとう,,65,100,100,70,60,75,62,カブトアーマー,,まけんき,
870,メガタイレーツ,かくとう,,65,135,135,70,65,100,99,まけんき,,,
871,バチンウニ,でんき,,48,101,95,91,85,15,1,ひらいしん,,エレキメイカー,
872,ユキハミ,こおり,むし,30,25,35,45,30,20,3.8,りんぷん,,こおりのりんぷん,
873,モスノウ,こおり,むし,70,65,60,125,90,65,42,りんぷん,,こおりのりんぷん,
874,イシヘンジン,いわ,,100,125,135,20,20,70,520,パワースポット,,,
875,コオリッポA,こおり,,75,80,110,65,90,50,89,アイスフェイス,,,
875,コオリッポＮ,こおり,,75,80,70,65,50,130,89,アイスフェイス,,,
876,イエッサン♂,エスパー,ノーマル,60,65,55,105,95,95,28,せいしんりょく,シンクロ,サイコメイカー,
876,イエッサン♀,エスパー,ノーマル,70,55,65,95,105,85,28,マイペース,シンクロ,サイコメイカー,
877,モルペコ,でんき,あく,58,95,58,70,58,97,3,はらぺこスイッチ,,,
878,ゾウドウ,はがね,,72,80,49,40,49,40,100,ちからずく,,ヘヴィメタル,
879,ダイオウドウ,はがね,,122,130,69,80,69,30,650,ちからずく,,ヘヴィメタル,
880,パッチラゴン,でんき,ドラゴン,90,100,90,80,70,75,190,ちくでん,はりきり,すなかき,
881,パッチルドン,でんき,こおり,90,100,90,90,80,55,150,ちくでん,せいでんき,ゆきかき,
882,ウオノラゴン,みず,ドラゴン,90,90,100,70,80,75,215,ちょすい,がんじょうあご,すなかき,
883,ウオチルドン,みず,こおり,90,90,100,80,90,55,175,ちょすい,アイスボディ,ゆきかき,
884,ジュラルドン,はがね,ドラゴン,70,95,115,120,50,85,40,ライトメタル,ヘヴィメタル,すじがねいり,
885,ドラメシヤ,ドラゴン,ゴースト,28,60,30,40,30,82,2,クリアボディ,すりぬけ,のろわれボディ,
886,ドロンチ,ドラゴン,ゴースト,68,80,50,60,50,102,11,クリアボディ,すりぬけ,のろわれボディ,
887,ドラパルト,ドラゴン,ゴースト,88,120,75,100,75,142,50,クリアボディ,すりぬけ,のろわれボディ,
888,ザシアン,フェアリー,,92,130,115,80,115,138,110,ふとうのけん,,,
888,ザシアン剣,フェアリー,はがね,92,170,115,80,115,148,355,ふとうのけん,,,
889,ザマゼンタ,かくとう,,92,130,115,80,115,138,210,ふくつのたて,,,
889,ザマゼンタ盾,かくとう,はがね,92,130,145,80,145,128,785,ふくつのたて,,,
890,ムゲンダイナ,どく,ドラゴン,140,85,95,145,95,130,950,プレッシャー,,,
890,ムゲンダイナ大,どく,ドラゴン,255,115,250,125,250,130,???.?,プレッシャー,,,
891,ダクマ,かくとう,,60,90,60,53,50,72,12,せいしんりょく,,,
892,ウーラオス一,かくとう,あく,100,130,100,63,60,97,105,ふかしのこぶし,,,
892,ウーラオス連,かくとう,みず,100,130,100,63,60,97,105,ふかしのこぶし,,,
893,ザルード,あく,くさ,105,120,105,70,95,105,70,リーフガード,,,
894,レジエレキ,でんき,,80,100,50,100,50,200,145,トランジスタ,,,
895,レジドラゴ,ドラゴン,,200,100,50,100,50,80,200,りゅうのあぎと,,,
896,ブリザポス,こおり,,100,145,130,65,110,30,800,しろのいななき,,,
897,レイスポス,ゴースト,,100,65,60,145,80,130,44.5,くろのいななき,,,
898,バドレックス,エスパー,くさ,100,80,80,80,80,80,7.7,きんちょうかん,,,
898,バドレックス白,エスパー,こおり,100,165,150,85,130,50,809.1,じんばいったい,,,
898,バドレックス黒,エスパー,ゴースト,100,85,80,165,100,150,53.6,じんばいったい,,,
899,アヤシシ,ノーマル,エスパー,103,105,72,105,75,65,95.1,いかく,おみとおし,そうしょく,
900,バサギリ,むし,いわ,70,135,95,45,70,85,89,むしのしらせ,ちからずく,きれあじ,
901,ガチグマ,ノーマル,じめん,130,140,105,45,80,50,290,こんじょう,ぼうだん,きんちょうかん,
901,ガチグマ（アカツキ）,ノーマル,じめん,113,70,120,135,65,52,333,しんがん,,,
902,イダイトウ♂,みず,ゴースト,120,112,65,80,75,78,110,すいすい,てきおうりょく,かたやぶり,
902,イダイトウ♀,みず,ゴースト,120,92,65,100,75,78,110,すいすい,てきおうりょく,かたやぶり,
903,オオニューラ,どく,かくとう,80,130,60,40,80,120,43,プレッシャー,かるわざ,どくしゅ,
904,ハリーマン,どく,あく,85,115,95,65,65,85,60.5,どくのトゲ,すいすい,いかく,
905,ラブトロス化身,フェアリー,ひこう,74,115,70,135,80,106,48,メロメロボディ,,あまのじゃく,
905,ラブトロス霊獣,フェアリー,ひこう,74,115,110,135,100,46,48,ぼうじん,,,
906,ニャオハ,くさ,,40,61,54,45,45,65,4.1,しんりょく,,へんげんじざい,
907,ニャローテ,くさ,,61,80,63,60,63,83,12.2,しんりょく,,へんげんじざい,
908,マスカーニャ,くさ,あく,76,110,70,81,70,123,31.2,しんりょく,,へんげんじざい,
909,ホゲータ,ほのお,,67,45,59,63,40,36,9.8,もうか,,てんねん,
910,アチゲータ,ほのお,,81,55,78,90,58,49,30.7,もうか,,てんねん,
911,ラウドボーン,ほのお,ゴースト,104,75,100,110,75,66,326.5,もうか,,てんねん,
912,クワッス,みず,,55,65,45,50,45,50,6.1,げきりゅう,,じしんかじょう,
913,ウェルカモ,みず,,70,85,65,65,60,65,21.5,げきりゅう,,じしんかじょう,
914,ウェーニバル,みず,かくとう,85,120,80,85,75,85,61.9,げきりゅう,,じしんかじょう,
915,グルトン,ノーマル,,54,45,40,35,45,35,10.2,アロマベール,くいしんぼう,あついしぼう,
916,パフュートン♂,ノーマル,,110,100,75,59,80,65,120,とれないにおい,くいしんぼう,あついしぼう,
916,パフュートン♀,ノーマル,,115,90,70,59,90,65,120,アロマベール,くいしんぼう,あついしぼう,
917,タマンチュラ,むし,,35,41,45,29,40,20,4,ふみん,,はりこみ,
918,ワナイダー,むし,,60,79,92,52,86,35,16.5,ふみん,,はりこみ,
919,マメバッタ,むし,,33,46,40,21,25,45,1,むしのしらせ,,いろめがね,
920,エクスレッグ,むし,あく,71,102,78,52,55,92,17.5,むしのしらせ,,いろめがね,
921,パモ,でんき,,45,50,20,40,25,60,2.5,せいでんき,しぜんかいふく,てつのこぶし,
922,パモット,でんき,かくとう,60,75,40,50,40,85,6.5,ちくでん,しぜんかいふく,てつのこぶし,
923,パーモット,でんき,かくとう,70,115,70,70,60,105,41,ちくでん,しぜんかいふく,てつのこぶし,
924,ワッカネズミ,ノーマル,,50,50,45,40,45,75,1.8,にげあし,ものひろい,マイペース,
925,イッカネズミ,ノーマル,,74,75,70,65,75,111,2.3,フレンドガード,ほおぶくろ,テクニシャン,
926,パピモッチ,フェアリー,,37,55,70,30,55,65,10.9,マイペース,,ぶきよう,
927,バウッツェル,フェアリー,,57,80,115,50,80,95,14.9,こんがりボディ,,アロマベール,
928,ミニーブ,くさ,ノーマル,41,35,45,58,51,30,6.5,はやおき,,しゅうかく,
929,オリーニョ,くさ,ノーマル,52,53,60,78,78,33,11.9,はやおき,,しゅうかく,
930,オリーヴァ,くさ,ノーマル,78,69,90,125,109,39,48.2,こぼれダネ,,しゅうかく,
931,イキリンコ,ノーマル,ひこう,82,96,51,45,51,92,2.4,いかく,はりきり,こんじょう,
932,コジオ,いわ,,55,55,75,35,35,25,16,きよめのしお,がんじょう,クリアボディ,
933,ジオヅム,いわ,,60,60,100,35,65,35,105,きよめのしお,がんじょう,クリアボディ,
934,キョジオーン,いわ,,100,100,130,45,90,35,240,きよめのしお,がんじょう,クリアボディ,
935,カルボウ,ほのお,,40,50,40,50,40,35,10.5,もらいび,,ほのおのからだ,
936,グレンアルマ,ほのお,エスパー,85,60,100,125,80,75,85,もらいび,,くだけるよろい,
